val_bpb	artifact_bytes	memory_mb	notes
1.36330099	12265862	10255	baseline unmodified
1.35919834	15102915	11552	SwiGLU MLP replacing ReLU²
1.35355753	17944610	11552	warmdown fix (artifact over 16MB)
1.34958600	15369302	10702	SwiGLU(768) + warmdown fix
1.33357453	16553858	5523	half batch 262K (artifact over 16MB)
1.33591363	15811633	5354	SwiGLU(704) + half batch 262K + warmdown fix
1.33052627	15326871	2789	SwiGLU(640) + quarter batch 131K + warmdown fix
1.32814313	15327112	10225	grad_accum=2, batch 131K, SwiGLU(640), warmdown
1.32836253	15325763	10221	weight decay 0.01 (no improvement)
1.37914359	15066998	19599	layer recurrence x2 (worse, fewer steps)
